vehicle_id,device_id,ride_date,session_start,session_end,schema_tier,total_rows,battery_health_score,voltage_sag_events,fast_soc_drop_minutes,vehicle_health_score,vibration_spike_events,vibration_spike_rate_per_1000_rows,motor_health_score,motor_inefficiency_events,motor_current_rows_available
119IAG,16116688,2026-08-29,2026-08-29T05:09:13.811000,2026-08-29T18:24:19.652000,mid,23771,100.0,0,0.0,97.1,35,1.47,,0,0
119IAG,16116688,2026-08-31,2026-08-31T09:05:28.977000,2026-08-31T12:37:15.871000,mid,73487,94.0,3,0.0,0.0,11240,152.95,,0,0
119IAG,16116688,2026-09-01,2026-09-01T07:32:26.966000,2026-09-01T10:19:00.976000,mid,60281,23.5,36,4.5,0.0,9049,150.11,,0,0
119IAG,16116688,2026-09-02,2026-09-02T09:04:13.975000,2026-09-02T10:49:50.557000,mid,34432,90.0,5,0.0,0.0,5604,162.76,,0,0
116IAG,16116760,2026-08-07,2026-08-07T14:08:49.157000,2026-08-07T15:13:51.974000,new,25097,100.0,0,0.0,99.0,12,0.48,100.0,0,4920
116IAG,16116760,2026-08-11,2026-08-11T11:55:53.845000,2026-08-11T13:58:16.970000,new,19623,100.0,0,0.0,99.8,2,0.1,,0,0
116IAG,16116760,2026-08-12,2026-08-12T09:32:33.844000,2026-08-12T09:48:25.958000,new,9523,100.0,0,0.0,99.8,1,0.11,,0,0
116IAG,16116760,2026-08-21,2026-08-21T15:15:29.840000,2026-08-21T22:18:48.969000,new,27040,100.0,0,0.0,81.6,249,9.21,100.0,0,4097
116IAG,16116760,2026-08-22,2026-08-22T04:40:27.874000,2026-08-22T21:45:59.073000,new,191374,100.0,0,0.0,0.0,14585,76.21,91.0,274,149911
116IAG,16116760,2026-08-24,2026-08-24T04:30:22.886000,2026-08-24T21:08:27.968000,new,237727,87.2,5,2.8,0.0,18660,78.49,93.8,244,186029
