vehicle_id,device_id,ride_date,minute_offset,max_current_per_throttle_ratio,above_threshold
122IAG,16040936,2026-08-21,834,0.197,False
122IAG,16040936,2026-08-21,839,1.164,True
122IAG,16040936,2026-08-21,840,1.26,True
122IAG,16040936,2026-08-21,841,0.684,False
122IAG,16040936,2026-08-21,842,1.417,True
122IAG,16040936,2026-08-21,843,0.886,False
122IAG,16040936,2026-08-21,844,1.09,False
122IAG,16040936,2026-08-21,847,1.378,True
122IAG,16040936,2026-08-21,848,0.516,False
122IAG,16040936,2026-08-21,1024,1.318,True
122IAG,16040936,2026-08-21,1025,1.309,True
122IAG,16040936,2026-08-21,1026,0.939,False
122IAG,16040936,2026-08-21,1027,1.103,False
122IAG,16040936,2026-08-21,1028,1.071,False
122IAG,16040936,2026-08-21,1029,0.976,False
122IAG,16040936,2026-08-21,1030,0.776,False
122IAG,16040936,2026-08-21,1031,0.789,False
122IAG,16040936,2026-08-21,1032,0.75,False
122IAG,16040936,2026-08-21,1033,1.579,True
122IAG,16040936,2026-08-22,88,1.261,True
122IAG,16040936,2026-08-22,93,1.272,True
122IAG,16040936,2026-08-22,94,1.012,False
122IAG,16040936,2026-08-22,95,0.805,False
122IAG,16040936,2026-08-22,96,1.039,False
122IAG,16040936,2026-08-22,97,1.213,True
122IAG,16040936,2026-08-22,98,0.931,False
122IAG,16040936,2026-08-22,99,1.09,False
122IAG,16040936,2026-08-22,100,0.686,False
122IAG,16040936,2026-08-22,101,0.659,False
122IAG,16040936,2026-08-22,103,0.972,False
122IAG,16040936,2026-08-22,104,1.034,False
122IAG,16040936,2026-08-22,105,1.285,True
122IAG,16040936,2026-08-22,106,0.309,False
122IAG,16040936,2026-08-22,107,0.959,False
122IAG,16040936,2026-08-22,108,0.971,False
122IAG,16040936,2026-08-22,109,0.48,False
122IAG,16040936,2026-08-22,512,1.177,True
122IAG,16040936,2026-08-22,513,1.313,True
122IAG,16040936,2026-08-22,514,1.17,True
122IAG,16040936,2026-08-22,515,1.291,True
122IAG,16040936,2026-08-22,516,0.924,False
122IAG,16040936,2026-08-22,517,0.685,False
122IAG,16040936,2026-08-22,518,1.353,True
122IAG,16040936,2026-08-22,519,0.967,False
122IAG,16040936,2026-08-22,520,0.964,False
122IAG,16040936,2026-08-22,523,1.369,True
122IAG,16040936,2026-08-22,524,0.996,False
122IAG,16040936,2026-08-22,525,1.103,False
122IAG,16040936,2026-08-22,526,0.842,False
122IAG,16040936,2026-08-22,527,0.81,False
122IAG,16040936,2026-08-22,528,0.785,False
122IAG,16040936,2026-08-22,529,0.87,False
122IAG,16040936,2026-08-22,530,0.281,False
122IAG,16040936,2026-08-22,531,1.275,True
122IAG,16040936,2026-08-22,532,0.945,False
122IAG,16040936,2026-08-22,533,1.419,True
122IAG,16040936,2026-08-22,534,1.284,True
122IAG,16040936,2026-08-22,535,1.261,True
122IAG,16040936,2026-08-22,536,0.9,False
122IAG,16040936,2026-08-22,537,0.945,False
122IAG,16040936,2026-08-22,539,1.256,True
122IAG,16040936,2026-08-22,540,1.197,True
122IAG,16040936,2026-08-22,541,0.747,False
122IAG,16040936,2026-08-22,544,1.385,True
122IAG,16040936,2026-08-22,545,0.991,False
122IAG,16040936,2026-08-22,546,0.721,False
122IAG,16040936,2026-08-22,547,1.34,True
122IAG,16040936,2026-08-22,548,1.259,True
122IAG,16040936,2026-08-22,549,1.44,True
122IAG,16040936,2026-08-22,550,1.349,True
122IAG,16040936,2026-08-22,551,0.912,False
122IAG,16040936,2026-08-22,552,1.117,False
122IAG,16040936,2026-08-22,575,1.296,True
122IAG,16040936,2026-08-22,576,1.044,False
122IAG,16040936,2026-08-22,577,1.177,True
122IAG,16040936,2026-08-22,578,0.794,False
122IAG,16040936,2026-08-22,579,1.016,False
122IAG,16040936,2026-08-22,580,1.161,True
122IAG,16040936,2026-08-22,581,1.079,False
122IAG,16040936,2026-08-22,583,1.271,True
122IAG,16040936,2026-08-22,584,1.115,False
122IAG,16040936,2026-08-22,585,1.237,True
122IAG,16040936,2026-08-22,586,0.841,False
122IAG,16040936,2026-08-22,587,1.254,True
122IAG,16040936,2026-08-22,588,0.859,False
122IAG,16040936,2026-08-22,589,1.126,False
122IAG,16040936,2026-08-22,593,1.368,True
122IAG,16040936,2026-08-22,594,1.212,True
122IAG,16040936,2026-08-22,595,0.947,False
122IAG,16040936,2026-08-22,596,0.797,False
122IAG,16040936,2026-08-22,597,0.875,False
122IAG,16040936,2026-08-22,598,1.262,True
122IAG,16040936,2026-08-22,599,1.488,True
122IAG,16040936,2026-08-22,600,1.293,True
122IAG,16040936,2026-08-22,601,1.468,True
122IAG,16040936,2026-08-22,602,1.248,True
122IAG,16040936,2026-08-22,606,1.223,True
122IAG,16040936,2026-08-22,607,1.325,True
122IAG,16040936,2026-08-22,608,1.112,False
122IAG,16040936,2026-08-22,609,1.276,True
122IAG,16040936,2026-08-22,610,0.742,False
122IAG,16040936,2026-08-22,611,1.095,False
122IAG,16040936,2026-08-22,612,1.323,True
122IAG,16040936,2026-08-22,613,1.385,True
122IAG,16040936,2026-08-22,614,1.046,False
122IAG,16040936,2026-08-22,621,3.208,True
122IAG,16040936,2026-08-22,622,0.913,False
122IAG,16040936,2026-08-22,623,1.234,True
122IAG,16040936,2026-08-22,624,1.002,False
122IAG,16040936,2026-08-22,625,0.985,False
122IAG,16040936,2026-08-22,626,0.781,False
122IAG,16040936,2026-08-22,627,1.408,True
122IAG,16040936,2026-08-22,631,1.278,True
122IAG,16040936,2026-08-22,632,1.284,True
122IAG,16040936,2026-08-22,633,0.559,False
122IAG,16040936,2026-08-22,635,1.199,True
122IAG,16040936,2026-08-22,636,1.196,True
122IAG,16040936,2026-08-22,637,1.268,True
122IAG,16040936,2026-08-22,638,1.285,True
122IAG,16040936,2026-08-22,639,1.02,False
122IAG,16040936,2026-08-22,640,1.152,True
122IAG,16040936,2026-08-22,641,1.062,False
122IAG,16040936,2026-08-22,642,0.576,False
122IAG,16040936,2026-08-22,646,1.707,True
122IAG,16040936,2026-08-22,647,1.302,True
122IAG,16040936,2026-08-22,648,1.801,True
122IAG,16040936,2026-08-22,649,0.999,False
122IAG,16040936,2026-08-22,651,1.16,True
122IAG,16040936,2026-08-22,652,0.902,False
122IAG,16040936,2026-08-22,653,1.006,False
122IAG,16040936,2026-08-22,654,2.376,True
122IAG,16040936,2026-08-22,656,1.42,True
122IAG,16040936,2026-08-22,657,1.151,True
122IAG,16040936,2026-08-22,658,1.272,True
122IAG,16040936,2026-08-22,661,1.17,True
122IAG,16040936,2026-08-22,662,1.19,True
122IAG,16040936,2026-08-22,663,0.716,False
122IAG,16040936,2026-08-22,664,1.373,True
122IAG,16040936,2026-08-22,665,1.173,True
122IAG,16040936,2026-08-22,666,0.844,False
122IAG,16040936,2026-08-22,668,1.276,True
122IAG,16040936,2026-08-22,669,1.253,True
122IAG,16040936,2026-08-22,670,1.391,True
122IAG,16040936,2026-08-22,671,0.875,False
122IAG,16040936,2026-08-22,672,2.474,True
122IAG,16040936,2026-08-22,673,1.063,False
122IAG,16040936,2026-08-22,674,1.415,True
122IAG,16040936,2026-08-22,675,1.307,True
122IAG,16040936,2026-08-22,677,1.471,True
122IAG,16040936,2026-08-22,678,1.09,False
122IAG,16040936,2026-08-22,679,0.966,False
122IAG,16040936,2026-08-22,680,1.213,True
122IAG,16040936,2026-08-22,685,1.017,False
122IAG,16040936,2026-08-22,686,1.348,True
122IAG,16040936,2026-08-22,687,1.06,False
122IAG,16040936,2026-08-22,688,1.077,False
122IAG,16040936,2026-08-22,691,1.289,True
122IAG,16040936,2026-08-22,692,1.094,False
122IAG,16040936,2026-08-22,693,1.04,False
122IAG,16040936,2026-08-22,694,1.131,False
122IAG,16040936,2026-08-22,695,1.365,True
122IAG,16040936,2026-08-22,696,0.997,False
122IAG,16040936,2026-08-22,697,0.875,False
122IAG,16040936,2026-08-22,703,1.462,True
122IAG,16040936,2026-08-22,704,1.065,False
122IAG,16040936,2026-08-22,705,0.778,False
122IAG,16040936,2026-08-22,706,1.216,True
122IAG,16040936,2026-08-22,707,1.145,True
122IAG,16040936,2026-08-22,710,1.459,True
122IAG,16040936,2026-08-22,711,1.124,False
122IAG,16040936,2026-08-22,712,1.108,False
122IAG,16040936,2026-08-22,713,0.903,False
122IAG,16040936,2026-08-22,714,1.159,True
122IAG,16040936,2026-08-22,715,1.348,True
122IAG,16040936,2026-08-22,832,1.126,False
122IAG,16040936,2026-08-22,833,0.78,False
122IAG,16040936,2026-08-22,834,1.056,False
122IAG,16040936,2026-08-22,835,0.728,False
122IAG,16040936,2026-08-22,836,1.167,True
122IAG,16040936,2026-08-22,837,1.273,True
122IAG,16040936,2026-08-22,838,0.92,False
122IAG,16040936,2026-08-22,841,1.222,True
122IAG,16040936,2026-08-22,842,1.151,True
122IAG,16040936,2026-08-22,845,1.225,True
122IAG,16040936,2026-08-22,846,0.955,False
122IAG,16040936,2026-08-22,847,1.062,False
122IAG,16040936,2026-08-22,848,0.919,False
122IAG,16040936,2026-08-22,851,1.317,True
122IAG,16040936,2026-08-22,852,1.102,False
122IAG,16040936,2026-08-22,853,0.82,False
122IAG,16040936,2026-08-22,854,0.887,False
122IAG,16040936,2026-08-22,855,1.305,True
122IAG,16040936,2026-08-22,856,1.2,True
122IAG,16040936,2026-08-22,857,1.149,True
122IAG,16040936,2026-08-22,859,1.379,True
122IAG,16040936,2026-08-22,860,0.955,False
122IAG,16040936,2026-08-22,861,0.727,False
122IAG,16040936,2026-08-22,864,1.082,False
122IAG,16040936,2026-08-22,865,1.212,True
122IAG,16040936,2026-08-22,866,1.031,False
122IAG,16040936,2026-08-22,867,1.194,True
122IAG,16040936,2026-08-22,868,1.286,True
122IAG,16040936,2026-08-22,869,1.294,True
122IAG,16040936,2026-08-22,870,1.23,True
122IAG,16040936,2026-08-22,871,0.625,False
122IAG,16040936,2026-08-22,872,1.241,True
122IAG,16040936,2026-08-22,874,1.367,True
122IAG,16040936,2026-08-22,875,0.918,False
122IAG,16040936,2026-08-22,877,1.223,True
122IAG,16040936,2026-08-22,878,1.263,True
122IAG,16040936,2026-08-22,880,1.388,True
122IAG,16040936,2026-08-22,881,0.747,False
122IAG,16040936,2026-08-22,890,1.345,True
122IAG,16040936,2026-08-22,891,0.86,False
122IAG,16040936,2026-08-22,892,1.083,False
122IAG,16040936,2026-08-22,893,0.891,False
122IAG,16040936,2026-08-22,894,0.844,False
122IAG,16040936,2026-08-22,895,1.386,True
122IAG,16040936,2026-08-22,896,1.446,True
122IAG,16040936,2026-08-22,900,1.236,True
122IAG,16040936,2026-08-22,901,0.576,False
122IAG,16040936,2026-08-22,902,0.881,False
122IAG,16040936,2026-08-22,903,0.892,False
122IAG,16040936,2026-08-22,904,0.9,False
122IAG,16040936,2026-08-22,905,0.93,False
122IAG,16040936,2026-08-22,907,1.384,True
122IAG,16040936,2026-08-22,908,1.017,False
122IAG,16040936,2026-08-22,909,0.764,False
122IAG,16040936,2026-08-22,910,1.005,False
122IAG,16040936,2026-08-22,914,1.291,True
122IAG,16040936,2026-08-22,915,1.054,False
122IAG,16040936,2026-08-22,916,0.735,False
122IAG,16040936,2026-08-22,917,1.146,True
122IAG,16040936,2026-08-22,918,0.866,False
122IAG,16040936,2026-08-22,919,1.132,False
122IAG,16040936,2026-08-22,925,1.161,True
122IAG,16040936,2026-08-22,926,1.346,True
122IAG,16040936,2026-08-22,927,1.109,False
122IAG,16040936,2026-08-22,929,1.421,True
122IAG,16040936,2026-08-22,930,0.945,False
122IAG,16040936,2026-08-22,931,1.259,True
122IAG,16040936,2026-08-22,932,1.154,True
122IAG,16040936,2026-08-24,278,1.21,True
122IAG,16040936,2026-08-24,279,1.071,False
122IAG,16040936,2026-08-24,459,1.606,True
122IAG,16040936,2026-08-24,460,1.621,True
122IAG,16040936,2026-08-24,461,1.605,True
122IAG,16040936,2026-08-24,462,0.849,False
122IAG,16040936,2026-08-24,463,1.589,True
122IAG,16040936,2026-08-24,464,1.025,False
122IAG,16040936,2026-08-24,465,1.515,True
122IAG,16040936,2026-08-24,466,1.27,True
122IAG,16040936,2026-08-24,467,1.393,True
122IAG,16040936,2026-08-24,468,1.04,False
122IAG,16040936,2026-08-24,469,0.541,False
122IAG,16040936,2026-08-24,470,1.129,False
122IAG,16040936,2026-08-24,471,0.54,False
122IAG,16040936,2026-08-24,472,1.089,False
122IAG,16040936,2026-08-24,473,1.284,True
122IAG,16040936,2026-08-24,474,1.294,True
122IAG,16040936,2026-08-24,475,1.132,False
122IAG,16040936,2026-08-24,476,1.34,True
122IAG,16040936,2026-08-24,477,0.816,False
122IAG,16040936,2026-08-24,478,1.445,True
122IAG,16040936,2026-08-24,479,0.763,False
122IAG,16040936,2026-08-24,480,0.693,False
122IAG,16040936,2026-08-24,481,1.112,False
122IAG,16040936,2026-08-24,482,1.005,False
122IAG,16040936,2026-08-24,483,0.724,False
122IAG,16040936,2026-08-24,486,0.898,False
122IAG,16040936,2026-08-24,487,1.309,True
122IAG,16040936,2026-08-25,508,1.235,True
122IAG,16040936,2026-08-25,509,1.268,True
122IAG,16040936,2026-08-25,510,1.049,False
122IAG,16040936,2026-08-25,511,1.131,False
122IAG,16040936,2026-08-25,512,0.993,False
122IAG,16040936,2026-08-25,513,1.226,True
122IAG,16040936,2026-08-25,514,0.84,False
122IAG,16040936,2026-08-25,515,1.271,True
122IAG,16040936,2026-08-25,516,1.031,False
122IAG,16040936,2026-08-25,517,0.646,False
122IAG,16040936,2026-08-25,518,1.022,False
122IAG,16040936,2026-08-25,519,1.047,False
122IAG,16040936,2026-08-25,520,0.912,False
122IAG,16040936,2026-08-25,521,1.107,False
122IAG,16040936,2026-08-25,525,1.037,False
122IAG,16040936,2026-08-25,526,1.115,False
122IAG,16040936,2026-08-25,527,1.26,True
122IAG,16040936,2026-08-25,528,0.797,False
122IAG,16040936,2026-08-25,529,0.85,False
122IAG,16040936,2026-08-25,530,1.298,True
122IAG,16040936,2026-08-25,531,0.712,False
122IAG,16040936,2026-08-25,532,0.851,False
122IAG,16040936,2026-08-25,533,0.856,False
122IAG,16040936,2026-08-25,534,0.635,False
122IAG,16040936,2026-08-25,535,1.043,False
122IAG,16040936,2026-08-25,536,0.486,False
122IAG,16040936,2026-08-25,537,1.37,True
122IAG,16040936,2026-08-25,540,1.21,True
122IAG,16040936,2026-08-25,541,1.014,False
122IAG,16040936,2026-08-25,542,0.915,False
122IAG,16040936,2026-08-25,543,0.832,False
122IAG,16040936,2026-08-25,544,0.654,False
122IAG,16040936,2026-08-25,551,1.329,True
122IAG,16040936,2026-08-25,552,1.043,False
122IAG,16040936,2026-08-25,553,0.709,False
122IAG,16040936,2026-08-25,554,0.506,False
122IAG,16040936,2026-08-25,555,1.271,True
122IAG,16040936,2026-08-25,556,0.664,False
122IAG,16040936,2026-08-25,557,1.01,False
122IAG,16040936,2026-08-25,558,1.128,False
122IAG,16040936,2026-08-25,561,1.362,True
122IAG,16040936,2026-08-25,562,0.917,False
122IAG,16040936,2026-08-25,563,1.049,False
122IAG,16040936,2026-08-25,564,1.107,False
122IAG,16040936,2026-08-25,565,0.882,False
122IAG,16040936,2026-08-25,566,0.729,False
122IAG,16040936,2026-08-25,567,1.024,False
122IAG,16040936,2026-08-25,568,1.185,True
122IAG,16040936,2026-08-25,570,1.338,True
122IAG,16040936,2026-08-25,571,1.087,False
122IAG,16040936,2026-08-25,572,1.061,False
122IAG,16040936,2026-08-25,573,1.248,True
122IAG,16040936,2026-08-25,574,1.428,True
122IAG,16040936,2026-08-25,575,0.74,False
122IAG,16040936,2026-08-25,576,2.838,True
122IAG,16040936,2026-08-25,578,0.966,False
122IAG,16040936,2026-08-25,579,1.34,True
122IAG,16040936,2026-08-25,580,0.77,False
122IAG,16040936,2026-08-25,581,0.608,False
122IAG,16040936,2026-08-25,582,0.925,False
122IAG,16040936,2026-08-25,583,1.345,True
122IAG,16040936,2026-08-25,584,0.886,False
122IAG,16040936,2026-08-25,585,1.429,True
122IAG,16040936,2026-08-25,586,1.088,False
122IAG,16040936,2026-08-25,587,1.02,False
122IAG,16040936,2026-08-25,588,1.39,True
122IAG,16040936,2026-08-25,589,0.679,False
122IAG,16040936,2026-08-25,592,1.136,False
122IAG,16040936,2026-08-25,593,1.126,False
122IAG,16040936,2026-08-25,594,1.198,True
122IAG,16040936,2026-08-25,595,1.004,False
122IAG,16040936,2026-08-25,596,1.216,True
122IAG,16040936,2026-08-25,597,0.824,False
122IAG,16040936,2026-08-25,598,1.02,False
122IAG,16040936,2026-08-25,599,1.869,True
122IAG,16040936,2026-08-25,600,0.712,False
122IAG,16040936,2026-08-25,601,1.028,False
122IAG,16040936,2026-08-25,602,0.026,False
122IAG,16040936,2026-08-25,604,0.339,False
122IAG,16040936,2026-08-25,605,1.258,True
122IAG,16040936,2026-08-25,606,0.796,False
122IAG,16040936,2026-08-25,607,1.266,True
122IAG,16040936,2026-08-25,608,1.314,True
122IAG,16040936,2026-08-25,609,1.398,True
122IAG,16040936,2026-08-25,610,0.689,False
122IAG,16040936,2026-08-25,611,1.121,False
122IAG,16040936,2026-08-25,612,1.248,True
122IAG,16040936,2026-08-25,613,1.535,True
122IAG,16040936,2026-08-25,614,0.989,False
122IAG,16040936,2026-08-25,615,0.987,False
122IAG,16040936,2026-08-25,616,0.882,False
122IAG,16040936,2026-08-25,617,1.195,True
122IAG,16040936,2026-08-25,618,0.709,False
122IAG,16040936,2026-08-25,619,1.298,True
122IAG,16040936,2026-08-25,620,1.322,True
122IAG,16040936,2026-08-25,621,1.053,False
122IAG,16040936,2026-08-25,623,1.423,True
122IAG,16040936,2026-08-25,624,1.348,True
122IAG,16040936,2026-08-25,625,1.345,True
122IAG,16040936,2026-08-25,626,1.065,False
122IAG,16040936,2026-08-25,627,1.253,True
122IAG,16040936,2026-08-25,628,1.156,True
122IAG,16040936,2026-08-25,629,0.733,False
122IAG,16040936,2026-08-25,630,1.027,False
122IAG,16040936,2026-08-25,633,1.495,True
122IAG,16040936,2026-08-25,634,1.094,False
122IAG,16040936,2026-08-25,635,1.06,False
122IAG,16040936,2026-08-25,636,1.175,True
122IAG,16040936,2026-08-25,637,0.835,False
122IAG,16040936,2026-08-25,638,0.77,False
122IAG,16040936,2026-08-25,639,0.878,False
122IAG,16040936,2026-08-25,640,1.154,True
122IAG,16040936,2026-08-25,641,0.583,False
122IAG,16040936,2026-08-25,642,1.304,True
122IAG,16040936,2026-08-25,643,1.022,False
122IAG,16040936,2026-08-25,644,1.504,True
122IAG,16040936,2026-08-25,648,1.538,True
122IAG,16040936,2026-08-25,649,6.785,True
122IAG,16040936,2026-08-25,650,2.139,True
122IAG,16040936,2026-08-25,651,0.652,False
122IAG,16040936,2026-08-25,652,0.669,False
122IAG,16040936,2026-08-25,653,0.971,False
122IAG,16040936,2026-08-25,654,0.703,False
122IAG,16040936,2026-08-25,655,0.894,False
122IAG,16040936,2026-08-25,656,0.754,False
122IAG,16040936,2026-08-25,657,1.089,False
122IAG,16040936,2026-08-25,662,1.423,True
122IAG,16040936,2026-08-25,663,1.267,True
122IAG,16040936,2026-08-25,664,0.839,False
122IAG,16040936,2026-08-25,665,1.388,True
122IAG,16040936,2026-08-25,666,1.161,True
122IAG,16040936,2026-08-25,667,1.28,True
122IAG,16040936,2026-08-25,669,1.563,True
122IAG,16040936,2026-08-25,674,1.307,True
122IAG,16040936,2026-08-25,675,1.03,False
122IAG,16040936,2026-08-25,677,1.185,True
122IAG,16040936,2026-08-25,678,1.457,True
122IAG,16040936,2026-08-25,679,1.225,True
122IAG,16040936,2026-08-25,682,1.069,False
122IAG,16040936,2026-08-25,683,0.807,False
122IAG,16040936,2026-08-25,684,0.497,False
122IAG,16040936,2026-08-25,685,1.454,True
122IAG,16040936,2026-08-25,686,0.799,False
122IAG,16040936,2026-08-25,687,1.22,True
122IAG,16040936,2026-08-25,689,1.593,True
122IAG,16040936,2026-08-25,690,0.906,False
122IAG,16040936,2026-08-25,691,0.907,False
122IAG,16040936,2026-08-25,692,1.296,True
122IAG,16040936,2026-08-25,700,0.882,False
122IAG,16040936,2026-08-25,701,1.458,True
122IAG,16040936,2026-08-25,702,0.851,False
122IAG,16040936,2026-08-25,703,0.484,False
122IAG,16040936,2026-08-25,704,1.391,True
122IAG,16040936,2026-08-25,705,1.221,True
122IAG,16040936,2026-08-25,706,1.266,True
122IAG,16040936,2026-08-25,707,1.309,True
122IAG,16040936,2026-08-25,708,1.325,True
122IAG,16040936,2026-08-25,709,1.258,True
122IAG,16040936,2026-08-25,712,1.521,True
122IAG,16040936,2026-08-25,713,1.094,False
122IAG,16040936,2026-08-25,714,1.545,True
122IAG,16040936,2026-08-25,715,1.485,True
122IAG,16040936,2026-08-25,717,1.458,True
122IAG,16040936,2026-08-25,718,1.561,True
122IAG,16040936,2026-08-25,719,1.265,True
122IAG,16040936,2026-08-25,721,1.48,True
122IAG,16040936,2026-08-25,722,1.26,True
122IAG,16040936,2026-08-25,723,1.109,False
122IAG,16040936,2026-08-25,724,0.885,False
122IAG,16040936,2026-08-25,725,0.749,False
122IAG,16040936,2026-08-25,726,1.434,True
122IAG,16040936,2026-08-25,727,0.688,False
122IAG,16040936,2026-08-25,729,1.423,True
122IAG,16040936,2026-08-25,730,1.106,False
122IAG,16040936,2026-08-25,731,1.101,False
122IAG,16040936,2026-08-25,734,1.521,True
122IAG,16040936,2026-08-25,735,1.152,True
122IAG,16040936,2026-08-25,736,1.536,True
122IAG,16040936,2026-08-25,737,1.508,True
122IAG,16040936,2026-08-25,738,0.999,False
122IAG,16040936,2026-08-25,739,1.381,True
122IAG,16040936,2026-08-25,740,1.072,False
122IAG,16040936,2026-08-25,741,1.557,True
122IAG,16040936,2026-08-25,742,0.998,False
122IAG,16040936,2026-08-25,743,0.994,False
122IAG,16040936,2026-08-25,744,1.126,False
122IAG,16040936,2026-08-25,748,3.002,True
122IAG,16040936,2026-08-25,749,0.913,False
122IAG,16040936,2026-08-25,750,0.691,False
122IAG,16040936,2026-08-25,751,1.348,True
122IAG,16040936,2026-08-25,752,0.745,False
122IAG,16040936,2026-08-25,753,0.683,False
122IAG,16040936,2026-08-25,754,0.91,False
122IAG,16040936,2026-08-25,755,0.783,False
122IAG,16040936,2026-08-25,756,1.296,True
122IAG,16040936,2026-08-25,758,1.572,True
122IAG,16040936,2026-08-25,759,1.568,True
122IAG,16040936,2026-08-25,760,1.107,False
122IAG,16040936,2026-08-25,761,1.007,False
122IAG,16040936,2026-08-25,762,0.863,False
122IAG,16040936,2026-08-25,763,0.733,False
122IAG,16040936,2026-08-25,764,1.288,True
122IAG,16040936,2026-08-25,765,1.125,False
122IAG,16040936,2026-08-25,766,0.287,False
122IAG,16040936,2026-08-25,767,1.133,False
122IAG,16040936,2026-08-25,768,1.516,True
122IAG,16040936,2026-08-25,771,1.383,True
122IAG,16040936,2026-08-25,772,1.194,True
122IAG,16040936,2026-08-25,775,1.003,False
122IAG,16040936,2026-08-25,776,0.885,False
122IAG,16040936,2026-08-25,777,0.922,False
122IAG,16040936,2026-08-25,778,1.488,True
122IAG,16040936,2026-08-25,779,1.182,True
122IAG,16040936,2026-08-25,780,0.958,False
122IAG,16040936,2026-08-25,781,1.369,True
122IAG,16040936,2026-08-25,782,0.73,False
122IAG,16040936,2026-08-25,783,1.309,True
122IAG,16040936,2026-08-25,784,0.818,False
122IAG,16040936,2026-08-25,785,1.365,True
122IAG,16040936,2026-08-25,786,1.331,True
122IAG,16040936,2026-08-25,787,1.509,True
122IAG,16040936,2026-08-25,793,1.432,True
122IAG,16040936,2026-08-25,794,1.29,True
122IAG,16040936,2026-08-25,795,0.814,False
122IAG,16040936,2026-08-25,796,0.695,False
122IAG,16040936,2026-08-25,797,1.214,True
122IAG,16040936,2026-08-25,798,0.731,False
122IAG,16040936,2026-08-25,799,0.817,False
122IAG,16040936,2026-08-25,800,0.632,False
122IAG,16040936,2026-08-25,801,0.805,False
122IAG,16040936,2026-08-25,802,0.815,False
122IAG,16040936,2026-08-25,803,0.911,False
122IAG,16040936,2026-08-25,804,0.765,False
122IAG,16040936,2026-08-25,805,1.209,True
122IAG,16040936,2026-08-25,851,1.197,True
122IAG,16040936,2026-08-25,852,0.757,False
122IAG,16040936,2026-08-25,853,0.876,False
122IAG,16040936,2026-08-25,854,0.774,False
122IAG,16040936,2026-08-25,855,0.887,False
122IAG,16040936,2026-08-25,856,1.088,False
122IAG,16040936,2026-08-25,861,0.975,False
122IAG,16040936,2026-08-25,862,1.353,True
122IAG,16040936,2026-08-25,863,0.486,False
122IAG,16040936,2026-08-25,864,0.89,False
122IAG,16040936,2026-08-25,865,0.896,False
122IAG,16040936,2026-08-25,866,0.711,False
122IAG,16040936,2026-08-25,870,1.415,True
122IAG,16040936,2026-08-25,871,1.009,False
122IAG,16040936,2026-08-25,872,1.359,True
122IAG,16040936,2026-08-25,873,1.12,False
122IAG,16040936,2026-08-25,874,0.988,False
122IAG,16040936,2026-08-25,875,0.795,False
122IAG,16040936,2026-08-25,877,1.249,True
122IAG,16040936,2026-08-25,878,1.089,False
122IAG,16040936,2026-08-25,879,0.903,False
122IAG,16040936,2026-08-25,880,1.318,True
122IAG,16040936,2026-08-25,883,1.214,True
122IAG,16040936,2026-08-25,884,1.168,True
122IAG,16040936,2026-08-25,885,1.215,True
122IAG,16040936,2026-08-25,886,1.399,True
122IAG,16040936,2026-08-25,888,1.273,True
122IAG,16040936,2026-08-25,889,1.143,True
122IAG,16040936,2026-08-25,890,0.752,False
122IAG,16040936,2026-08-25,891,0.831,False
122IAG,16040936,2026-08-25,892,1.038,False
